generator_model,task_id,dimension,value,rep,stripped_path,original_path,original_changed,remaining_concurrency_identifiers,remaining_security_identifiers,remaining_strip_concurrency_tokens,remaining_strip_security_tokens,sync_pattern_count,validation_pattern_count,exception_pattern_count,docstring_leakage_hits,comment_leakage_hits,structural_fingerprint_score,engineer_guessable,guess_rationale
anthropic,dependency_order,concurrency,v0,1,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/dependency_order/concurrency/v0/rep_1.py,/home/cesar/papers/invert/invert/data/code/anthropic/dependency_order/concurrency/v0/rep_1.py,True,0,0,0,0,0,3,1,0,0,0,no,no concurrency tokens or sync structure detected
anthropic,dependency_order,concurrency,v0,2,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/dependency_order/concurrency/v0/rep_2.py,/home/cesar/papers/invert/invert/data/code/anthropic/dependency_order/concurrency/v0/rep_2.py,True,0,0,0,0,0,3,1,0,0,0,no,no concurrency tokens or sync structure detected
anthropic,dependency_order,concurrency,v0,3,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/dependency_order/concurrency/v0/rep_3.py,/home/cesar/papers/invert/invert/data/code/anthropic/dependency_order/concurrency/v0/rep_3.py,True,0,0,0,0,0,3,1,0,0,0,no,no concurrency tokens or sync structure detected
anthropic,dependency_order,concurrency,v0,4,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/dependency_order/concurrency/v0/rep_4.py,/home/cesar/papers/invert/invert/data/code/anthropic/dependency_order/concurrency/v0/rep_4.py,True,0,0,0,0,0,3,1,0,0,0,no,no concurrency tokens or sync structure detected
anthropic,dependency_order,concurrency,v0,5,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/dependency_order/concurrency/v0/rep_5.py,/home/cesar/papers/invert/invert/data/code/anthropic/dependency_order/concurrency/v0/rep_5.py,True,0,0,0,0,0,3,1,0,0,0,no,no concurrency tokens or sync structure detected
anthropic,dependency_order,concurrency,v1,1,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/dependency_order/concurrency/v1/rep_1.py,/home/cesar/papers/invert/invert/data/code/anthropic/dependency_order/concurrency/v1/rep_1.py,True,0,0,0,2,0,4,3,0,0,0,no,no concurrency tokens or sync structure detected
anthropic,dependency_order,concurrency,v1,2,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/dependency_order/concurrency/v1/rep_2.py,/home/cesar/papers/invert/invert/data/code/anthropic/dependency_order/concurrency/v1/rep_2.py,True,0,0,0,2,0,4,3,0,0,0,no,no concurrency tokens or sync structure detected
anthropic,dependency_order,concurrency,v1,3,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/dependency_order/concurrency/v1/rep_3.py,/home/cesar/papers/invert/invert/data/code/anthropic/dependency_order/concurrency/v1/rep_3.py,True,0,0,0,2,0,4,3,0,0,0,no,no concurrency tokens or sync structure detected
anthropic,dependency_order,concurrency,v1,4,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/dependency_order/concurrency/v1/rep_4.py,/home/cesar/papers/invert/invert/data/code/anthropic/dependency_order/concurrency/v1/rep_4.py,True,0,0,0,2,0,4,3,0,0,0,no,no concurrency tokens or sync structure detected
anthropic,dependency_order,concurrency,v1,5,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/dependency_order/concurrency/v1/rep_5.py,/home/cesar/papers/invert/invert/data/code/anthropic/dependency_order/concurrency/v1/rep_5.py,True,0,0,0,2,0,4,3,0,0,0,no,no concurrency tokens or sync structure detected
anthropic,dependency_order,security,v0,1,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/dependency_order/security/v0/rep_1.py,/home/cesar/papers/invert/invert/data/code/anthropic/dependency_order/security/v0/rep_1.py,True,0,0,0,0,0,3,1,1,1,3,yes,3 validation patterns; structural score 3
anthropic,dependency_order,security,v0,2,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/dependency_order/security/v0/rep_2.py,/home/cesar/papers/invert/invert/data/code/anthropic/dependency_order/security/v0/rep_2.py,True,0,0,0,0,0,3,1,1,2,3,yes,3 validation patterns; structural score 3
anthropic,dependency_order,security,v0,3,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/dependency_order/security/v0/rep_3.py,/home/cesar/papers/invert/invert/data/code/anthropic/dependency_order/security/v0/rep_3.py,True,0,0,0,0,0,3,1,1,2,3,yes,3 validation patterns; structural score 3
anthropic,dependency_order,security,v0,4,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/dependency_order/security/v0/rep_4.py,/home/cesar/papers/invert/invert/data/code/anthropic/dependency_order/security/v0/rep_4.py,True,0,0,0,0,0,3,1,1,1,3,yes,3 validation patterns; structural score 3
anthropic,dependency_order,security,v0,5,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/dependency_order/security/v0/rep_5.py,/home/cesar/papers/invert/invert/data/code/anthropic/dependency_order/security/v0/rep_5.py,True,0,0,0,0,0,3,1,1,2,3,yes,3 validation patterns; structural score 3
anthropic,dependency_order,security,v1,1,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/dependency_order/security/v1/rep_1.py,/home/cesar/papers/invert/invert/data/code/anthropic/dependency_order/security/v1/rep_1.py,True,0,0,0,4,0,10,5,1,2,12,yes,4 strip-alias tokens (type_check/trim/clean); 10 validation patterns; structural score 12
anthropic,dependency_order,security,v1,2,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/dependency_order/security/v1/rep_2.py,/home/cesar/papers/invert/invert/data/code/anthropic/dependency_order/security/v1/rep_2.py,True,0,0,0,4,0,10,5,1,2,12,yes,4 strip-alias tokens (type_check/trim/clean); 10 validation patterns; structural score 12
anthropic,dependency_order,security,v1,3,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/dependency_order/security/v1/rep_3.py,/home/cesar/papers/invert/invert/data/code/anthropic/dependency_order/security/v1/rep_3.py,True,0,0,0,4,0,10,5,1,2,12,yes,4 strip-alias tokens (type_check/trim/clean); 10 validation patterns; structural score 12
anthropic,dependency_order,security,v1,4,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/dependency_order/security/v1/rep_4.py,/home/cesar/papers/invert/invert/data/code/anthropic/dependency_order/security/v1/rep_4.py,True,0,0,0,4,0,10,5,1,2,12,yes,4 strip-alias tokens (type_check/trim/clean); 10 validation patterns; structural score 12
anthropic,dependency_order,security,v1,5,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/dependency_order/security/v1/rep_5.py,/home/cesar/papers/invert/invert/data/code/anthropic/dependency_order/security/v1/rep_5.py,True,0,0,0,4,0,10,5,1,2,12,yes,4 strip-alias tokens (type_check/trim/clean); 10 validation patterns; structural score 12
anthropic,lru_cache,concurrency,v0,1,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/lru_cache/concurrency/v0/rep_1.py,/home/cesar/papers/invert/invert/data/code/anthropic/lru_cache/concurrency/v0/rep_1.py,True,0,0,0,0,0,3,1,0,0,0,no,no concurrency tokens or sync structure detected
anthropic,lru_cache,concurrency,v0,2,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/lru_cache/concurrency/v0/rep_2.py,/home/cesar/papers/invert/invert/data/code/anthropic/lru_cache/concurrency/v0/rep_2.py,True,0,0,0,0,0,3,1,0,0,0,no,no concurrency tokens or sync structure detected
anthropic,lru_cache,concurrency,v0,3,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/lru_cache/concurrency/v0/rep_3.py,/home/cesar/papers/invert/invert/data/code/anthropic/lru_cache/concurrency/v0/rep_3.py,True,0,0,0,0,0,3,1,0,0,0,no,no concurrency tokens or sync structure detected
anthropic,lru_cache,concurrency,v0,4,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/lru_cache/concurrency/v0/rep_4.py,/home/cesar/papers/invert/invert/data/code/anthropic/lru_cache/concurrency/v0/rep_4.py,True,0,0,0,0,0,3,1,0,0,0,no,no concurrency tokens or sync structure detected
anthropic,lru_cache,concurrency,v0,5,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/lru_cache/concurrency/v0/rep_5.py,/home/cesar/papers/invert/invert/data/code/anthropic/lru_cache/concurrency/v0/rep_5.py,True,0,0,0,0,0,3,1,0,0,0,no,no concurrency tokens or sync structure detected
anthropic,lru_cache,concurrency,v1,1,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/lru_cache/concurrency/v1/rep_1.py,/home/cesar/papers/invert/invert/data/code/anthropic/lru_cache/concurrency/v1/rep_1.py,True,0,0,4,0,9,3,1,1,0,9,yes,"4 strip-alias tokens (ResourceGuard/module_x); 9 sync structural patterns (with self.lock, Thread/start/join); 1 docstring hits"
anthropic,lru_cache,concurrency,v1,2,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/lru_cache/concurrency/v1/rep_2.py,/home/cesar/papers/invert/invert/data/code/anthropic/lru_cache/concurrency/v1/rep_2.py,True,0,0,4,0,9,3,1,1,0,9,yes,"4 strip-alias tokens (ResourceGuard/module_x); 9 sync structural patterns (with self.lock, Thread/start/join); 1 docstring hits"
anthropic,lru_cache,concurrency,v1,3,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/lru_cache/concurrency/v1/rep_3.py,/home/cesar/papers/invert/invert/data/code/anthropic/lru_cache/concurrency/v1/rep_3.py,True,0,0,5,0,9,4,1,1,0,9,yes,"5 strip-alias tokens (ResourceGuard/module_x); 9 sync structural patterns (with self.lock, Thread/start/join); 1 docstring hits"
anthropic,lru_cache,concurrency,v1,4,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/lru_cache/concurrency/v1/rep_4.py,/home/cesar/papers/invert/invert/data/code/anthropic/lru_cache/concurrency/v1/rep_4.py,True,0,0,4,0,9,3,1,1,0,9,yes,"4 strip-alias tokens (ResourceGuard/module_x); 9 sync structural patterns (with self.lock, Thread/start/join); 1 docstring hits"
anthropic,lru_cache,concurrency,v1,5,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/lru_cache/concurrency/v1/rep_5.py,/home/cesar/papers/invert/invert/data/code/anthropic/lru_cache/concurrency/v1/rep_5.py,True,0,0,4,0,9,4,1,1,0,9,yes,"4 strip-alias tokens (ResourceGuard/module_x); 9 sync structural patterns (with self.lock, Thread/start/join); 1 docstring hits"
anthropic,lru_cache,security,v0,1,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/lru_cache/security/v0/rep_1.py,/home/cesar/papers/invert/invert/data/code/anthropic/lru_cache/security/v0/rep_1.py,True,0,0,0,0,0,3,1,0,0,3,yes,3 validation patterns; structural score 3
anthropic,lru_cache,security,v0,2,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/lru_cache/security/v0/rep_2.py,/home/cesar/papers/invert/invert/data/code/anthropic/lru_cache/security/v0/rep_2.py,True,0,0,0,0,0,3,1,0,0,3,yes,3 validation patterns; structural score 3
anthropic,lru_cache,security,v0,3,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/lru_cache/security/v0/rep_3.py,/home/cesar/papers/invert/invert/data/code/anthropic/lru_cache/security/v0/rep_3.py,True,0,0,0,0,0,3,1,0,0,3,yes,3 validation patterns; structural score 3
anthropic,lru_cache,security,v0,4,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/lru_cache/security/v0/rep_4.py,/home/cesar/papers/invert/invert/data/code/anthropic/lru_cache/security/v0/rep_4.py,True,0,0,0,0,0,3,1,0,0,3,yes,3 validation patterns; structural score 3
anthropic,lru_cache,security,v0,5,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/lru_cache/security/v0/rep_5.py,/home/cesar/papers/invert/invert/data/code/anthropic/lru_cache/security/v0/rep_5.py,True,0,0,0,0,0,3,1,0,0,3,yes,3 validation patterns; structural score 3
anthropic,lru_cache,security,v1,1,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/lru_cache/security/v1/rep_1.py,/home/cesar/papers/invert/invert/data/code/anthropic/lru_cache/security/v1/rep_1.py,True,0,0,0,1,0,0,0,0,0,0,yes,1 strip-alias tokens (type_check/trim/clean)
anthropic,lru_cache,security,v1,2,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/lru_cache/security/v1/rep_2.py,/home/cesar/papers/invert/invert/data/code/anthropic/lru_cache/security/v1/rep_2.py,True,0,0,0,1,0,0,0,0,0,0,yes,1 strip-alias tokens (type_check/trim/clean)
anthropic,lru_cache,security,v1,3,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/lru_cache/security/v1/rep_3.py,/home/cesar/papers/invert/invert/data/code/anthropic/lru_cache/security/v1/rep_3.py,True,0,0,0,1,0,0,0,0,0,0,yes,1 strip-alias tokens (type_check/trim/clean)
anthropic,lru_cache,security,v1,4,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/lru_cache/security/v1/rep_4.py,/home/cesar/papers/invert/invert/data/code/anthropic/lru_cache/security/v1/rep_4.py,True,0,0,0,2,0,0,0,0,0,0,yes,2 strip-alias tokens (type_check/trim/clean)
anthropic,lru_cache,security,v1,5,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/lru_cache/security/v1/rep_5.py,/home/cesar/papers/invert/invert/data/code/anthropic/lru_cache/security/v1/rep_5.py,True,0,0,0,1,0,0,0,0,0,0,yes,1 strip-alias tokens (type_check/trim/clean)
anthropic,merge_intervals,concurrency,v0,1,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/merge_intervals/concurrency/v0/rep_1.py,/home/cesar/papers/invert/invert/data/code/anthropic/merge_intervals/concurrency/v0/rep_1.py,False,0,0,0,0,0,1,0,0,0,0,no,no concurrency tokens or sync structure detected
anthropic,merge_intervals,concurrency,v0,2,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/merge_intervals/concurrency/v0/rep_2.py,/home/cesar/papers/invert/invert/data/code/anthropic/merge_intervals/concurrency/v0/rep_2.py,False,0,0,0,0,0,1,0,0,0,0,no,no concurrency tokens or sync structure detected
anthropic,merge_intervals,concurrency,v0,3,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/merge_intervals/concurrency/v0/rep_3.py,/home/cesar/papers/invert/invert/data/code/anthropic/merge_intervals/concurrency/v0/rep_3.py,False,0,0,0,0,0,1,0,0,0,0,no,no concurrency tokens or sync structure detected
anthropic,merge_intervals,concurrency,v0,4,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/merge_intervals/concurrency/v0/rep_4.py,/home/cesar/papers/invert/invert/data/code/anthropic/merge_intervals/concurrency/v0/rep_4.py,False,0,0,0,0,0,1,0,0,0,0,no,no concurrency tokens or sync structure detected
anthropic,merge_intervals,concurrency,v0,5,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/merge_intervals/concurrency/v0/rep_5.py,/home/cesar/papers/invert/invert/data/code/anthropic/merge_intervals/concurrency/v0/rep_5.py,False,0,0,0,0,0,1,0,0,0,0,no,no concurrency tokens or sync structure detected
anthropic,merge_intervals,concurrency,v1,1,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/merge_intervals/concurrency/v1/rep_1.py,/home/cesar/papers/invert/invert/data/code/anthropic/merge_intervals/concurrency/v1/rep_1.py,False,0,0,0,0,0,1,0,0,0,0,no,no concurrency tokens or sync structure detected
anthropic,merge_intervals,concurrency,v1,2,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/merge_intervals/concurrency/v1/rep_2.py,/home/cesar/papers/invert/invert/data/code/anthropic/merge_intervals/concurrency/v1/rep_2.py,False,0,0,0,0,0,1,0,0,0,0,no,no concurrency tokens or sync structure detected
anthropic,merge_intervals,concurrency,v1,3,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/merge_intervals/concurrency/v1/rep_3.py,/home/cesar/papers/invert/invert/data/code/anthropic/merge_intervals/concurrency/v1/rep_3.py,False,0,0,0,0,0,1,0,0,0,0,no,no concurrency tokens or sync structure detected
anthropic,merge_intervals,concurrency,v1,4,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/merge_intervals/concurrency/v1/rep_4.py,/home/cesar/papers/invert/invert/data/code/anthropic/merge_intervals/concurrency/v1/rep_4.py,False,0,0,0,0,0,1,0,0,0,0,no,no concurrency tokens or sync structure detected
anthropic,merge_intervals,concurrency,v1,5,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/merge_intervals/concurrency/v1/rep_5.py,/home/cesar/papers/invert/invert/data/code/anthropic/merge_intervals/concurrency/v1/rep_5.py,False,0,0,0,0,0,1,0,0,0,0,no,no concurrency tokens or sync structure detected
anthropic,merge_intervals,security,v0,1,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/merge_intervals/security/v0/rep_1.py,/home/cesar/papers/invert/invert/data/code/anthropic/merge_intervals/security/v0/rep_1.py,False,0,0,0,0,0,1,0,0,0,1,no,minimal validation/security surface
anthropic,merge_intervals,security,v0,2,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/merge_intervals/security/v0/rep_2.py,/home/cesar/papers/invert/invert/data/code/anthropic/merge_intervals/security/v0/rep_2.py,False,0,0,0,0,0,1,0,0,0,1,no,minimal validation/security surface
anthropic,merge_intervals,security,v0,3,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/merge_intervals/security/v0/rep_3.py,/home/cesar/papers/invert/invert/data/code/anthropic/merge_intervals/security/v0/rep_3.py,False,0,0,0,0,0,1,0,0,0,1,no,minimal validation/security surface
anthropic,merge_intervals,security,v0,4,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/merge_intervals/security/v0/rep_4.py,/home/cesar/papers/invert/invert/data/code/anthropic/merge_intervals/security/v0/rep_4.py,False,0,0,0,0,0,1,0,0,0,1,no,minimal validation/security surface
anthropic,merge_intervals,security,v0,5,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/merge_intervals/security/v0/rep_5.py,/home/cesar/papers/invert/invert/data/code/anthropic/merge_intervals/security/v0/rep_5.py,False,0,0,0,0,0,1,0,0,0,1,no,minimal validation/security surface
anthropic,merge_intervals,security,v1,1,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/merge_intervals/security/v1/rep_1.py,/home/cesar/papers/invert/invert/data/code/anthropic/merge_intervals/security/v1/rep_1.py,True,0,0,0,4,0,9,4,0,3,11,yes,4 strip-alias tokens (type_check/trim/clean); 9 validation patterns; structural score 11
anthropic,merge_intervals,security,v1,2,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/merge_intervals/security/v1/rep_2.py,/home/cesar/papers/invert/invert/data/code/anthropic/merge_intervals/security/v1/rep_2.py,True,0,0,0,4,0,9,4,0,0,11,yes,4 strip-alias tokens (type_check/trim/clean); 9 validation patterns; structural score 11
anthropic,merge_intervals,security,v1,3,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/merge_intervals/security/v1/rep_3.py,/home/cesar/papers/invert/invert/data/code/anthropic/merge_intervals/security/v1/rep_3.py,True,0,0,0,4,0,12,5,0,0,14,yes,4 strip-alias tokens (type_check/trim/clean); 12 validation patterns; structural score 14
anthropic,merge_intervals,security,v1,4,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/merge_intervals/security/v1/rep_4.py,/home/cesar/papers/invert/invert/data/code/anthropic/merge_intervals/security/v1/rep_4.py,True,0,0,0,4,0,9,4,0,0,11,yes,4 strip-alias tokens (type_check/trim/clean); 9 validation patterns; structural score 11
anthropic,merge_intervals,security,v1,5,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/merge_intervals/security/v1/rep_5.py,/home/cesar/papers/invert/invert/data/code/anthropic/merge_intervals/security/v1/rep_5.py,True,0,0,0,4,0,9,4,0,0,11,yes,4 strip-alias tokens (type_check/trim/clean); 9 validation patterns; structural score 11
anthropic,rate_limiter,concurrency,v0,1,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/rate_limiter/concurrency/v0/rep_1.py,/home/cesar/papers/invert/invert/data/code/anthropic/rate_limiter/concurrency/v0/rep_1.py,True,0,0,0,0,0,2,1,0,0,0,no,no concurrency tokens or sync structure detected
anthropic,rate_limiter,concurrency,v0,2,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/rate_limiter/concurrency/v0/rep_2.py,/home/cesar/papers/invert/invert/data/code/anthropic/rate_limiter/concurrency/v0/rep_2.py,True,0,0,0,0,0,2,1,0,0,0,no,no concurrency tokens or sync structure detected
anthropic,rate_limiter,concurrency,v0,3,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/rate_limiter/concurrency/v0/rep_3.py,/home/cesar/papers/invert/invert/data/code/anthropic/rate_limiter/concurrency/v0/rep_3.py,True,0,0,0,0,0,2,1,0,0,0,no,no concurrency tokens or sync structure detected
anthropic,rate_limiter,concurrency,v0,4,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/rate_limiter/concurrency/v0/rep_4.py,/home/cesar/papers/invert/invert/data/code/anthropic/rate_limiter/concurrency/v0/rep_4.py,False,0,0,0,0,0,0,0,0,1,0,no,no concurrency tokens or sync structure detected
anthropic,rate_limiter,concurrency,v0,5,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/rate_limiter/concurrency/v0/rep_5.py,/home/cesar/papers/invert/invert/data/code/anthropic/rate_limiter/concurrency/v0/rep_5.py,True,0,0,0,0,0,2,1,0,0,0,no,no concurrency tokens or sync structure detected
anthropic,rate_limiter,concurrency,v1,1,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/rate_limiter/concurrency/v1/rep_1.py,/home/cesar/papers/invert/invert/data/code/anthropic/rate_limiter/concurrency/v1/rep_1.py,True,0,0,3,0,2,0,0,0,1,2,yes,"3 strip-alias tokens (ResourceGuard/module_x); 2 sync structural patterns (with self.lock, Thread/start/join); 1 docstring hits"
anthropic,rate_limiter,concurrency,v1,2,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/rate_limiter/concurrency/v1/rep_2.py,/home/cesar/papers/invert/invert/data/code/anthropic/rate_limiter/concurrency/v1/rep_2.py,True,0,0,3,0,2,0,0,0,1,2,yes,"3 strip-alias tokens (ResourceGuard/module_x); 2 sync structural patterns (with self.lock, Thread/start/join); 1 docstring hits"
anthropic,rate_limiter,concurrency,v1,3,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/rate_limiter/concurrency/v1/rep_3.py,/home/cesar/papers/invert/invert/data/code/anthropic/rate_limiter/concurrency/v1/rep_3.py,True,0,0,7,0,8,2,1,0,1,8,yes,"7 strip-alias tokens (ResourceGuard/module_x); 8 sync structural patterns (with self.lock, Thread/start/join); 1 docstring hits"
anthropic,rate_limiter,concurrency,v1,4,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/rate_limiter/concurrency/v1/rep_4.py,/home/cesar/papers/invert/invert/data/code/anthropic/rate_limiter/concurrency/v1/rep_4.py,True,0,0,7,0,10,4,3,1,1,10,yes,"7 strip-alias tokens (ResourceGuard/module_x); 10 sync structural patterns (with self.lock, Thread/start/join); 2 docstring hits"
anthropic,rate_limiter,concurrency,v1,5,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/rate_limiter/concurrency/v1/rep_5.py,/home/cesar/papers/invert/invert/data/code/anthropic/rate_limiter/concurrency/v1/rep_5.py,True,0,0,4,0,7,2,1,1,0,7,yes,"4 strip-alias tokens (ResourceGuard/module_x); 7 sync structural patterns (with self.lock, Thread/start/join); 1 docstring hits"
anthropic,rate_limiter,security,v0,1,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/rate_limiter/security/v0/rep_1.py,/home/cesar/papers/invert/invert/data/code/anthropic/rate_limiter/security/v0/rep_1.py,False,0,0,0,0,0,0,0,0,0,0,no,minimal validation/security surface
anthropic,rate_limiter,security,v0,2,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/rate_limiter/security/v0/rep_2.py,/home/cesar/papers/invert/invert/data/code/anthropic/rate_limiter/security/v0/rep_2.py,True,0,0,0,0,0,3,1,0,1,3,yes,3 validation patterns; structural score 3
anthropic,rate_limiter,security,v0,3,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/rate_limiter/security/v0/rep_3.py,/home/cesar/papers/invert/invert/data/code/anthropic/rate_limiter/security/v0/rep_3.py,True,0,0,0,0,0,2,1,1,1,2,yes,2 validation patterns; structural score 2
anthropic,rate_limiter,security,v0,4,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/rate_limiter/security/v0/rep_4.py,/home/cesar/papers/invert/invert/data/code/anthropic/rate_limiter/security/v0/rep_4.py,True,0,0,0,0,0,2,1,1,1,2,yes,2 validation patterns; structural score 2
anthropic,rate_limiter,security,v0,5,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/rate_limiter/security/v0/rep_5.py,/home/cesar/papers/invert/invert/data/code/anthropic/rate_limiter/security/v0/rep_5.py,False,0,0,0,0,0,0,0,0,0,0,no,minimal validation/security surface
anthropic,rate_limiter,security,v1,1,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/rate_limiter/security/v1/rep_1.py,/home/cesar/papers/invert/invert/data/code/anthropic/rate_limiter/security/v1/rep_1.py,True,0,0,0,2,0,1,0,0,0,1,yes,2 strip-alias tokens (type_check/trim/clean); 1 validation patterns; structural score 1
anthropic,rate_limiter,security,v1,2,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/rate_limiter/security/v1/rep_2.py,/home/cesar/papers/invert/invert/data/code/anthropic/rate_limiter/security/v1/rep_2.py,True,0,0,0,2,0,1,0,0,0,1,yes,2 strip-alias tokens (type_check/trim/clean); 1 validation patterns; structural score 1
anthropic,rate_limiter,security,v1,3,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/rate_limiter/security/v1/rep_3.py,/home/cesar/papers/invert/invert/data/code/anthropic/rate_limiter/security/v1/rep_3.py,True,0,0,0,2,0,1,0,0,0,1,yes,2 strip-alias tokens (type_check/trim/clean); 1 validation patterns; structural score 1
anthropic,rate_limiter,security,v1,4,/home/cesar/papers/invert/invert/data/code_stripped/anthropic/rate_limiter/security/v1/rep_4.py,/home/cesar/papers/invert/invert/data/code/anthropic/rate_limiter/security/v1/rep_4.py,True,0,0,0,2,0,1,0,0,0,1,yes,2 strip-alias tokens (type_check/trim/clean); 1 validation patterns; structural score 1
